ID,character_name,camp,character_icon,ability_attributes,abilities,ability_resources,sprite_position,animation_library
ID,角色名,角色阵营0玩家1敌人,角色头像,属性组,技能组,技能资源组,,动画库
string,string,int,resource,string,string[],string[],vector2,resource
crystal_mauler,战士,0,res://assets/texture/icon/character_profile_picture/crystal_mauler.png,crystal_mauler,attack*battle_cry*heroic_strike*resolute*retaliate,health*rage,"0,-96",res://scenes/character/resources/animation/hero/animation_library_crystal_mauler.res
leaf_ranger,游侠,0,res://assets/texture/icon/character_profile_picture/leaf_ranger.png,leaf_ranger,arrow_attack*arrow_beam*arrow_entangle*arrow_poison*arrow_shower,health*enery,"0,-96",res://scenes/character/resources/animation/hero/animation_library_leaf_ranger.res
water_priestess,水祭祀,0,res://assets/texture/icon/character_profile_picture/water_priestess.png,water_priestess,water_blade_slash*vortex_bind*tidal_fury*healing_spring*aqua_shield,health*mana,"0,-96",res://scenes/character/resources/animation/hero/animation_library_water_priestess.res
wizard,法师,0,res://assets/texture/icon/character_profile_picture/wizard.tres,wizard,attack*arcane_missiles*fireball*magic_shield*mana_surge,health*mana,"0,-96",res://scenes/character/resources/animation/hero/animation_library_wizard.res
flying_eye,眼魔,1,res://assets/texture/icon/character_profile_picture/flying_eye.tres,flying_eye,attack,health,"0,-27",res://scenes/character/resources/animation/enemy/animation_library_flying_eye.res
goblin,哥布林,1,res://assets/texture/icon/character_profile_picture/goblin.tres,goblin,attack,health,"0,-27",res://scenes/character/resources/animation/enemy/animation_library_goblin.res
mushroom,蘑菇怪,1,res://assets/texture/icon/character_profile_picture/mushroom.tres,mushroom,attack,health,"0,-27",res://scenes/character/resources/animation/enemy/animation_library_mushroom.res
skeleton,骷髅士兵,1,res://assets/texture/icon/character_profile_picture/skeleton.tres,skeleton,attack,health,"0,-27",res://scenes/character/resources/animation/enemy/animation_library_skeleton.res
